Date,AveragePrice,Total Volume,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
2015-01-04,1.75,27365.89,13598.46,13061.1,537.36,0.0,organic,2015,Southeast
2015-01-04,1.49,17723.17,905.55,905.55,0.0,0.0,organic,2015,Chicago
2015-01-04,1.68,2896.72,2528.08,2528.08,0.0,0.0,organic,2015,HarrisburgScranton
2015-01-04,1.64,1505.12,374.35,186.67,187.68,0.0,organic,2015,Boise
2015-01-04,1.5,6329.83,457.12,426.67,30.45,0.0,organic,2015,LasVegas
2015-01-04,1.82,2288.44,796.67,796.67,0.0,0.0,organic,2015,MiamiFtLauderdale
2015-01-04,1.8,3597.07,523.33,523.33,0.0,0.0,organic,2015,StLouis
2015-01-04,1.81,1339.36,461.03,447.01,14.02,0.0,organic,2015,Pittsburgh
2015-01-04,1.72,593.39,490.68,490.68,0.0,0.0,organic,2015,Syracuse
2015-01-04,1.56,58065.35,19114.43,17280.89,1833.54,0.0,organic,2015,Midsouth
2015-01-04,1.79,1373.95,1162.65,1162.65,0.0,0.0,organic,2015,Albany
2015-01-04,1.22,8938.32,1256.67,1256.67,0.0,0.0,organic,2015,Houston
2015-01-04,1.73,379.82,320.0,320.0,0.0,0.0,organic,2015,BuffaloRochester
2015-01-04,1.6,1012.61,216.17,210.0,6.17,0.0,organic,2015,GrandRapids
2015-01-04,1.42,22480.07,12356.44,1076.67,11279.77,0.0,organic,2015,Denver
2015-01-04,1.23,19089.36,828.81,828.81,0.0,0.0,organic,2015,SanDiego
2015-01-04,1.29,19137.28,3881.69,3881.69,0.0,0.0,organic,2015,BaltimoreWashington
2015-01-04,1.35,9895.96,3613.34,3613.34,0.0,0.0,organic,2015,DallasFtWorth
2015-01-04,1.76,3846.69,1408.19,1071.35,336.84,0.0,organic,2015,Atlanta
2015-01-04,1.54,4212.16,1922.3,1570.28,352.02,0.0,organic,2015,RichmondNorfolk
2015-01-04,1.48,1395.75,558.7,478.15,80.55,0.0,organic,2015,Louisville
2015-01-04,2.01,3397.0,1072.67,993.94,78.73,0.0,organic,2015,RaleighGreensboro
2015-01-04,1.3,5782.7,838.26,223.33,614.93,0.0,organic,2015,Spokane
2015-01-04,1.93,17328.24,2269.38,2269.38,0.0,0.0,organic,2015,NewYork
2015-01-04,1.35,53494.91,20768.73,20622.28,146.45,0.0,organic,2015,SouthCentral
2015-01-04,1.39,4414.29,1597.26,1139.42,457.84,0.0,organic,2015,Roanoke
